class,method,count
org.apache.tools.tar.TarEntry,&lt;init&gt;,2
org.apache.tools.ant.AntClassLoader,resetThreadContextLoader,1
org.apache.tools.ant.AntClassLoader,setParentFirst,1
org.apache.tools.ant.AntClassLoader,setThreadContextLoader,1
org.apache.tools.ant.AntClassLoader,newAntClassLoader,1
org.apache.tools.ant.AntClassLoader,setProject,1
org.apache.tools.ant.ArgumentProcessorRegistry,getProcessors,1
org.apache.tools.ant.BuildEvent,getException,1
org.apache.tools.ant.BuildEvent,getProject,1
org.apache.tools.ant.BuildEvent,getTarget,1
org.apache.tools.ant.BuildEvent,getTask,1
org.apache.tools.ant.BuildEvent,setException,1
org.apache.tools.ant.ComponentHelper,getAntTypeTable,1
org.apache.tools.ant.ComponentHelper,getDataTypeDefinitions,1
org.apache.tools.ant.ComponentHelper,getNext,1
org.apache.tools.ant.ComponentHelper,getProject,1
org.apache.tools.ant.ComponentHelper,getTaskDefinitions,1
org.apache.tools.ant.ComponentHelper,setNext,1
org.apache.tools.ant.ComponentHelper,setProject,1
org.apache.tools.ant.DefaultDefinitions,&lt;init&gt;,1
org.apache.tools.ant.DefaultLogger,setErrorPrintStream,1
org.apache.tools.ant.DefaultLogger,setOutputPrintStream,1
org.apache.tools.ant.DemuxInputStream,&lt;init&gt;,1
org.apache.tools.ant.DemuxOutputStream,processBuffer,1
org.apache.tools.ant.DemuxOutputStream,processFlush,1
org.apache.tools.ant.DemuxOutputStream,&lt;init&gt;,1
org.apache.tools.ant.Diagnostics,doReportTempDir,1
org.apache.tools.ant.DirectoryScanner,scandir,1
org.apache.tools.ant.DirectoryScanner,setMaxLevelsOfSymlinks,1
org.apache.tools.ant.DirectoryScanner,setSelectors,1
org.apache.tools.ant.IntrospectionHelper,getAddTextMethod,1
org.apache.tools.ant.Main,createLogger,1
org.apache.tools.ant.Main,&lt;init&gt;,1
org.apache.tools.ant.Main,getAntVersion,1
org.apache.tools.ant.Main,runBuild,1
org.apache.tools.ant.Project,setKeepGoingMode,1
org.apache.tools.ant.Project,getGlobalFilterSet,1
org.apache.tools.ant.Project,getReferences,1
org.apache.tools.ant.Project,getTargets,1
org.apache.tools.ant.Project,tsort,1
org.apache.tools.ant.Project,getProject,1
org.apache.tools.ant.ProjectComponent,getProject,1
org.apache.tools.ant.ProjectComponent,setProject,1
org.apache.tools.ant.ProjectHelper,getExtensionStack,1
org.apache.tools.ant.ProjectHelper,getImportStack,1
org.apache.tools.ant.PropertyHelper,getNext,1
org.apache.tools.ant.PropertyHelper,getProject,1
org.apache.tools.ant.PropertyHelper,setNext,1
org.apache.tools.ant.PropertyHelper,setProject,1
org.apache.tools.ant.PropertyHelper,NOVALUE,1
org.apache.tools.ant.PropertyHelper,toBoolean,1
org.apache.tools.ant.PropertyHelper,setProperty,1
org.apache.tools.ant.PropertyHelper$1,NOVALUE,1
org.apache.tools.ant.PropertyHelper$2,NOVALUE,1
org.apache.tools.ant.RuntimeConfigurable,maybeConfigure,1
org.apache.tools.ant.RuntimeConfigurable,getAttributes,1
org.apache.tools.ant.Target,getProject,1
org.apache.tools.ant.Target,setProject,1
org.apache.tools.ant.Task,getOwningTarget,1
org.apache.tools.ant.Task,getRuntimeConfigurableWrapper,1
org.apache.tools.ant.Task,setOwningTarget,1
org.apache.tools.ant.Task,setRuntimeConfigurableWrapper,1
org.apache.tools.ant.TaskConfigurationChecker,&lt;init&gt;,1
org.apache.tools.ant.UnknownElement,getChildren,1
org.apache.tools.ant.XmlLogger,setMessageOutputLevel,1
org.apache.tools.ant.XmlLogger,setOutputPrintStream,1
